pid,asr_text,asr_language,asr_char_count
POST00000280,"Hey everyone, it's me, your favorite beauty supply manager coming back with another dope video So I've been getting a lot of questions now lately about our favorite pack hair So I'm gonna break it down and it's a probably like two to three parts So starting off this is the video for our top favorite quick weave Hair in this store location every store is different Every state is different so I can only speak on what goes down in this store So if you're ready, let's do it",en,474
POST00001726,I'm going to like that I'm going to like that I'm going to like that,en,68
POST00001126,but it's giving skill. It's giving where are the tracks? It's giving...yeah. Yeah.,en,82
POST00001882,"In my head I don't know what to think, eat now To the ground and pull I'll make a say Very very slowly And just like that Every little girl",en,139
POST00001184,"But we don't pop up the night Black eyes, special smiles Shows my blood I'm a palajer, I'm a pop up the night You pop up the night We get involved up tonight We don't pop up, but you don't see part And you'll see",en,212
POST00002324,Dodg Don't die,en,14
POST00003049,Fenty highlighter diamond bomb palette that I got for free at Boots.,en,68
POST00003389,"Puedes hacer un fufo y solo confente y viurija. Este va a estar emocionante. En esta vuelta vamos a ir para mi mini tienda porque creo que tengo todo para un fufo y está mi bandejita. Para la base tengo la base de fente aquí. Primer, aquí está el primer de fente. No sé si tienes la otra base o esta porque esta la... Así que vamos a ponerla aquí. Con retor. Polvo translúcido. Tengo el mini. Bronser.",es,401
POST00003071,And my warehouse job with my one inch nails. The concentration. Ready to sit here and look pretty.,en,98
POST00001690,"Barricade. Hello. Oh, it is! That is nice. Make your hair. Overtones. We need a wig hand. We need a wig for it.",en,111
POST00002479,Day in the life as a nail tack with prices. 10 a.m. long full set. $130. 12 p.m. freestyle.,en,91
POST00001630,"The Nile is a river in Egypt. Your husband is gay. Oh, Mickey is a boy.",en,71
POST00003478,"I'm a little bit p-lid, QP, QP's H, I love my bitches",en,53
POST00000467,This and this they're the same thing. DOOPS! DOOPS!,en,51
POST00001657,"My lips are about to be fat! Do you know, does anyone know why they named them fat oil? What does that mean? Anyways, I have never been more excited about a lip oil. I fucking love Nix and I'm fucking in a lip oil phase right now in my life. Look at the colors, look at the packaging. It's just, ah, I'm excited. Let's try to clear first. We have to do a scent check. What is that? Oh my god. Oh, what's that candy? What is that candy? I gotta go to Google. That kid. I thought of this.",en,486
POST00001468,"Today I'm going to be reviewing and product testing the Jeffree Star Wildling Winter lip oil. Also don't get it twisted and think I'm a noob when it comes to lip care. These are in my gym bag. Okay, these are my dried insures. We got bird's bees, new jajinglin and aquafore. I'm no my way around some chapstick. However, unlike those other products, this is the lip oil and the two most active ingredients are chamomile oil and olive oil, which I've heard is really good for your lips. And look, I don't have wildly winter here, but I can still test this in some pretty harsh conditions like riding a motorcycle and...",en,618
POST00001785,"¿Qué es este aplicador, Ariana Grande? Este es el lip oil de la marca A or I Am Beauty de Ariana Grande, pero... Por favor, era aplicador. Alguien que me explique. Me tititaron mucho un video muy reciente de este producto en verdad. El color está bonito. Es un lip oil, como ya les dije, es de la marca de Ariana Grande. Pero cuando yo lo vi aquí, o sea, cuando bien video bien dije... ¿Qué es esto? ¿Qué es este aplicador? La suposición video tengo de para que es este aplicador personalmente y no investig...",es,510
POST00001376,弱役関係ない Lost a life jewels変更變大型,ja,30
POST00002013,"Let's talk about lip oils that are and are not worth your money. In my opinion, sometimes people forget that I'm allowed to have one of those. The Dior one was a mist for me, doesn't last long, doesn't smell good, doesn't moisturize my lips. And I have dry crusty lips. Moving on to the lip oils I like, we'll start with Rem Beauty. Now I'm not gonna lie, I mostly like it because of the wand. It's pretty. When I tried Clarence, something awoken me, I believe it was my inner childhood, because it smells so good. And I think the color payoff is gorgeous. Finally, Ilya. This is probably the most pigmented lip.",en,612
POST00001889,"You know what? I'm not even going to hate on her because a lot of people that have migrated lip filler don't even know they have migrated lip filler and refuse to believe it. But I will tell you this, that is definitely not going to work. Once you've gone through lip filler migration or have had overfilled lips, it unfortunately destroys the natural anatomy of the lips where it doesn't hold in filler as good as it used to. So the only way, the only way to result.",en,467
POST00001308,It's not even funny. I am so much. It's not funny. I am so much.,en,64
POST00003516,"And I'm like the boggy, I'm a dog but I still wanna party Pink felt like I'm ready to bend I'm a tensor, I pulling a can, boy Daddy's tasty, Mickey All of the boggy's pretty All of the boggy's is bad, it girls And we complain to her God, God, God Red, but he spank me, why get bad? I'm in LA, what they'll drive? I'm a New York medicine app, I'm a Barbie girl Pink Barbie dream house The way can be clean, shake a million out Like the spring house You're yelling out, we ain't selling out We got money but we ain't letting out",en,526
POST00003806,"I'm like a bride. I just like a friend. You expect you like a lover? Oh... Oh... I could bet that, never got to sweat that, I could bet that, never got to sweat that, I could bet that, never got to sweat that, I could bet that, never got to sweat that, I've beat a rubber band. I've beat a match. I don't beat the fumes, boom. Ain't nobody you could beat a new. I'm never for a baby, you could beat a new. Cause you oughta sneak out",en,432
POST00003259,"And you know I can't take it that one ever And you'll send your lights in the gym And we might be better But to me you Yeah, I know you too You don't want to thank her See it anyway",en,181
POST00003307,"Can't take it with you turn In my own hands we came up So alone how you can learn Let's see how much you can earn Why me go be like the world And I ain't smoking no shard I'ma need baby, be lady, keep me Keep me, keep me, keep me I love my bitches, it's pretty that showin' they titties It's all to the city, holla down rockin' me And I rock with a really, let's fuck on the bin I'ma get down to the gritty then fuck up the city",en,428
POST00003621,"I just wanna have some fun Don't tell me we're cool big boys You know you like a lot of shots and I'm insane You know you like a lot of shots and I'm insane You know you like a bunch of scattered ass shame What you wanna, what you gonna do",ko,239
POST00001940,"Still with you while you're bitch naked Come on man, set me to know I way play your mean shit Yeah, nigga fuck out",en,114
POST00001472,"You could bet that never got us where we're best I feel a rubber band, you feel a match That will be a fuse, boom Pain or baby, you could feel the news I'm learning port, baby, you could feel the news Cause you're cigarette, and I'm a smokers We raise a bet, cause you're the job guard, you're the job You wanna talk, it's like a blackboard, you can be a top You can be a bomb, yeah",en,382
POST00003696,"Who's that creeping through my window? For you come outside I got the info Tuck it to the ends of my hands, oh No I let us smoke you let it lay",en,143
POST00003355,"I get lonely when you're not here and this darkness appears Leave it me stranded, my whole world's just down You'd never lived here and I'd never found what I thought I did There's a really un-pain, there's a really un-pain, I could say But you never really knew that, but you never really knew I felt this way Wanna take your back, wanna-",en,339
POST00003272,You change the game What you do? I don't know I have to last night I'll take on the little old shoe,en,99
POST00001421,Why did you hurt yourself? Why did you go crazy? Sometimes there is no why. I just did.,en,87
POST00001539,"When the sun is calling, the sun is calling The sun is calling, the sun is calling Just do something to me It's your family, she want you paid",en,142
POST00003326,kay,ko,3
POST00001255,I have a boyfriend like I don't know meI can't keep them togetherI can't keep them togetherI can't keep them togetherI can't keep them togetherI can't keep them together,ja,169
POST00002288,MILLION Vincent Leighton Nicholson Jamie Novel BaldINO Vincent Thomas Thomas Josh persistence Crit Joseph Thomas Joseph,en,119
POST00000986,예잔 뻐� 둘바잉,ko,9
POST00002187,I'm gonna be your new band But I already know what I get I know I only wanna come over put it on them I got that one on that night He drinks it,en,143
POST00001245,I smell just like vanilla It tastes like buttercream You're filling up my senses With empty calories,en,100
POST00002780,When somewhere to start No need to pause He's a fool I'll pour it out I'll pour it out I'll pour it out,en,103
POST00001476,I'm just like only Mary Mary on a Mary on a cross I'm just not a lighting Mary Mary on a Mary on a See you go down just like only Mary Mary on a Mary on a cross You're doing it better than shit,en,193
POST00003622,운도운도 재미있 holidays 실� nog 표정 의타 심해,ko,33
POST00001826,"You could bet that never got us to keep that change I'll be the rubber band, you could be the match I'll be a fuse, boom Hey, you're baby, you could be the news I'm the reporter, baby, you could be the news Cause you're cigarette, you know the smoke girl We raise a bet, cause you're the joke girl, check out You wanna talk, if I could be a blackboard, you can be a talk If I can be a part of it, yeah, you wanna get a close call And even when the sun goes shine, yeah I got baby, you can relax, cause you're pretty little hand in",en,530
POST00003897,Velho Gombalh didn't stand my face Nawards thinking he is a guy Leading in motion Necessite A bang,pt,98
POST00002885,"Hola muy buenas como estas, yo venia muy jeans, tengo el pelo corto, por lo que me lo corta de hoy y ahora mismo en este video te voy a enseñar un pedazo de juego que para mí está muy guapo y muy poca gente lo conoce. En resumidas cuentas este es mi setup y este es el render 3D que he hecho con este juguito que está bastante guapo, es un juego que está en Steam así que lo que tenéis que hacer es buscar my dream setup en Steam y la única parte mada es que tiene un precio de 5,89 pero si sois muy inteligente podéis conseguir lo completamente gratis. El juego va de eso, hacerse el setup de tus sueños pero la utilidad que a mí me llamo...",es,642
POST00003504,esta muchailaband music lamp,es,28
POST00003819,I got to pour it right 6 I got sued by 6 I got by 6 I got bombed by 6 I got mud by 6 I got shot by 6,en,100
POST00003591,"The strength it takes me to put on a pair of fucking jeans. I should be in the Olympics. Listen, I don't do jeans. Okay. Finally I splurged and I got fit jeans. Every time I go out I wear the same pair of black jeans. And they're about to shit the bed, you know, in between the legs. I like like a super high waisted like up to my fucking neck. High waisted skinny black jeans. I know she knows. She knows. She knows. I know she knows.",en,435
POST00002841,No need to pack and freeze the screw,en,36
POST00000841,I'm still trying everything to get you laughing at me.,en,54
POST00000536,"I still believe I don't know why I've never been unnatural I like to try, try, try I'm still on that track I'm still trying everything To keep you looking at me Because I'm a miracle",en,182
POST00002413,"They'll still allow my toll these tittos Spinning in my highest heels love Shining just me And they call out the circus from this old town When I sent home the Lord's days and the rodeo plans I'm still on that table I'm still trying everything I'm still laughing at me I'm still the meat of both of your own I've never been in a natural Like you was trying, trying, trying",en,372
POST00001959,"We have people like that in society too. They hang there and every time they break, it entertains us. Yeah. And when you shine a light on them, it's this glittering, fantastic thing. But then a lot of the time when the spotlight isn't on them, they're just still there up on a pedestal that nobody's watching them. It was a metaphor for celebrity, but it's also a metaphor for so many people who have to feel like everybody has to feel like they have to be on for certain things.",en,479
POST00002935,Hush when no one is around my dear You'll find me on my tallest tiptoes Spinning my highest hills love Shine in just for you Hush and know they said the end is near But I'm still on my tallest tiptoes Spinning in my,en,215
POST00003454,"I'm still a believer, you don't know where I've never been unnatural, I like who is tried, tried, tried I'm still on that track, I'm still trying everything To keep you looking at me",en,182
POST00002447,"Primero tenemos las mieros, para decir que son esas pibas que son tan hermosas que te raja en la tierra de puta, mira yo les dices que, ehm, pero al mismo tiempo se les activas que tiene una personalidad de vina y son diniles de una masas pero no una contarles a veces así y que tienen rojo de tu tima, son esas pibas que literalmente no pueden ver lo que son y que constantemente están rebajándose pero en un tiempo son las pibas más dulces que vas a conocer, una literalmente es la típica que le dices que me gusta el rea unir",es,528
POST00003799,"And they call off the circuits from Disco Derm When they send home the Lord sees them the rodeo plans I'm still on that Tyro, I'm still trying everything To get you laughing at me I'm still a believer, but I don't know what I've never been unnatural, I like to strive, strive, strive I'm still on that track, it's I'm still trying I'm still on that track, it's I'm still trying",en,377
POST00002550,"I'm still a believer, but I don't know why I've never been a natural, all I do is try, try, try",en,95
POST00002070,"I used to think that Johnny just used to be And he called out the circus, and just so damn When he sent home the hot seats and all your friends I'm still on that table, I'm still trying every single thing And he should have ran away",en,232
POST00001503,,en,0
POST00002777,"Uncomfortable, I can change everything that we've been in",en,57
POST00003363,"In folklore there are a lot of songs that reference each other or a lyrical parallel and one of the ones that I like is the entire song, this is me trying, then being referenced again in Miraball, which is, I've never been a natural, all I do is try. And I just was thinking, okay, so we have Miraballs in the middle of a dance floor because they reflect light. They are broken a million times and that's what makes them so shiny. We have people like that in society too, they hang there.",en,488
POST00000551,"I still believe I don't know why I've never been unnatural I like to try, try, try I'm still on that track I'm still trying everything",en,134
POST00003088,"But I'm still on my tallest tiptoes Spinning my highest heels up, shining just me And I call out the circus on the disco dance When it's in all the lower seats and the lower your pants I'm still on that tight roll, I'm still trying everything To get you back in my feet I'm still a believer but no one",en,301
POST00003599,"You have to be different versions of yourself for different people, different versions at work, different versions around friends, different versions of yourself around different friends. Different versions of yourself around family around children.",en,249
POST00001935,I'm on you to know I'm inevitable I show you every version of yourself tonight I'll get you out on the floor You should move in beautiful And when I...,en,151
POST00003366,Hush when no one is around my dear You'll find me on my tallest tiptoes Spinning my highest hills love Shine in just for you Hush and know they said the end is near But I'm still on my tallest tiptoes Spinning in my,en,215
POST00002847,"When it comes to a smack pack I came alive I won't arrive I'm a robot, I'm a robot And I arrive I'm a robot, I'm a robot I'm a robot",en,132
POST00003281,"All I ever wanted to be is just smart, but as it turned out, I'm not enough. I've always watched the others answering the questions. As it was the easiest thing they've ever heard, while I just looked in front of me with blame and hate for why my brain is completely empty. All I ever did was try, try, try, but others' exams was still better than mine. I was never really brave enough to say my way of thinking, so I guess they just assumed I don't give a shit.",en,462
POST00003339,"And I just was thinking, okay, so we have mirror balls in the middle of a dance floor because they reflect light. They are broken a million times and that's what makes them so shiny.",en,182
POST00002347,"And they called off the circuits from the distal time When they sent home the law, it's a instant, blow your hands I'm still on that tightrope, I'm still trying everything To make sure that you're in me I'm still a believer, but no but, I've never been unnatural I'm still on that track",en,286
POST00001230,"Hello, I wish I was a little bit taller, I wish I was a baller, I was a bad girl, but I would call it.",en,102
POST00001208,"Va a ver, no sé si hablan mucho español Si entiendes cuando ha dicho mi amor Conmelo sin entenderlo en mejor Solo tenemos que gustarlos",es,135
POST00001046,"So gone on and air cold It's too big of a cure And high from the sun I love you forever We'll have some friends Yes, get to the North Pole And you'll have a leave Please don't bring home tears now It's Christmas, baby",en,217
POST00001005,Sometimes it's too much Every week I've been trying How will we know Maybe I've found this thing,en,96
POST00002283,"As you can see we are in Walmart, but y'all let me know it's $40 a lot for this. Be honest, $49 is that too much?",en,113
POST00003098,hoodie yang balan sablonnya pav gini gue suka banget liat pas gue pake lagi lagi hoodie box-i kali ini gue mengreview hoodie dari lokal brand yang berasal dari kebumpaten selaman namanya brandnya Buer Studios dari packagingnya mereka cukup proper langsung aja gue buka isinya ada sticker 2 biasanya ada thank you card kalo ini ga ada jadi mari kita langsung review hoodienya wah gue speechless ini kalian harus lihat bagian belakangnya wow mungkin menurut kalian bias aja menurut gue ini keren karena pabilihan fondnya bagus banget better gue kasih lihat detail produknya disini ada tech brandnya ini material hoodie nya pake 330 gsm,id,633
POST00002124,Come on Me See What The닥,en,24
POST00001971,"Alright, I'm gonna make an outfit with these stacked jeans I got from Guapi. I thought they would match my supreme fives, but they really don't. So I'mma just put black hats with it. I got this Dreamville Jersey. It says Born Center on the back, number 15. I got this from a All Star Elite in the mall. You know I'm your favorite 2K character. I'mma put the compression underneath the jersey. I'ma roll this up into a beanie. I'ma add some jewelry. And y'all know I'll let these playboy sunglasses. This the whole fit.",en,518
POST00002811,"It's the only time I'm in line, having that To the beat that boy with the best",en,78
POST00001140,Some day when the sun sets on me I find a spot by a live oak tree And you know what to do Put me in my boots,en,108
POST00000289,"The far I knew it all was holding on with doors Holding your hand and getting all the work Just as fast as I can Call the new world, asking what you're doing Girl, before I knew it If I knew it all was spinning my time I'm spinning my paycheck on around you Girl, I gotta say this, all the things I thought I never knew it But that's the far I knew it That's it",en,361
POST00002230,Antonio Montana,es,15
POST00000924,방금 중간장 наг Its not enoughpolitik Times Anyone Want To Gethere 널 찾어 flower,ko,73
POST00001251,"Am I still a vignette? Put those vibes in the condo Pink toe Reach a meal more than a hundo Reach a meal Shot it ain't no soup, we got a gundo Shot it",en,150
POST00001104,So,en,2
POST00000983,I'm not a Christmas There is just one thing I need I don't care about the present I don't need the Christmas tree I just want you for my own All that you could ever know Let my wish come true,en,191
POST00000895,"You know that you're in dancer and dancer and mixer and mixing Come at me, cupping, donner and blitz But do you recall the most famous reindeer of all?",en,151
POST00002082,"Hutest rank for two bestie friends, so... Who's who? It's hothead. Yes I am. Cause I'm all about fintin' fintin' fintin' And he's all about me, Mention your bestie. And we don't give a dang dang dang dang dang about no-",en,219
POST00002590,"Don't be afraid to make your way to the stage. Forbidden our name. Silk. Silent our name. Oh, whatever goes around, you bitch.",en,126
POST00002295,"Don't be afraid to make your way to the stage. Forbidden our name. Silk. Silent our name. Oh, whatever goes around, you bitch.",en,126
POST00001355,"I'm gonna be a big boy, give me a big boy Hey, there's nothing seasoning All the girls are leaving to get a big boy I'm gonna be a big boy",en,138
POST00001261,"I've got the shoes, I've got the dress that makes me a princess, I guess, I-",en,76
POST00003652,Selbst,en,6
POST00000707,"You need to find someone to cover your shift. That's your job. You're a manager, right? How about you manage the schedules? You're gonna find my own replacement. Who am I? Willy Wonka? I know it sucks when you have to do your job. That's why I'm taking off in the first place. Find someone to cover tomorrow or find someone to cover it indefinitely. Either way, you're doing it.",en,378
POST00003227,"Good morning everyone. Yay! I'm here! I'm here! I'm happy to see all of you too, so we're gonna have a good day today. Okay, because I'm here. We're gonna have a good day because I'm here. Hey, they said that you need an manager. Finally, someone up here who knows how to do their job properly. This idiot is telling you that I can't return this item. Please explain to her that that's not the policy. Can you, she bought it three years ago? I can't take it back. We can't take it back. So, man, what she's saying is correct. The item is not refundable. No, no, no. The item is not refundable. The item is not refundable.",en,621
POST00003015,"Welcome back to another episode of Surviving Retail. Today we're going to talk about my very first job that I got when I was 18, 2012. This nightmare. You guys listen, in the last 11 years I've had so many jobs that it's crazy. My resume, my resume is like this long. Okay, there's no place that has ever been worse to work for than this company right here. I got hired the same day that I interviewed and I didn't even bring a resume. They were doing a job fair. I went in, I sat down little little",en,499
POST00001917,Oh thank you for organizing that. Can you go fold the jeans over there please? Oh okay yeah awesome thank you. I have been standing all day my legs were so bad. Oh you know what I should do? I should grab a bench. Yeah I can just fold like that. I can't be doing that.,en,268
POST00002710,"So woman just came in and approached my employees and asked to switch out one of our mugs in the front window because she didn't like what it said. Didn't like the word on the mug and so she wanted us to swap it out. So I overheard the conversation and decided to step in and let her know we are not a children's boutique, we are an adult women's boutique. So that's not really our problem right? The whole argument is that we are on the main streets.",en,451
POST00000024,I'm sorry man this line's closed. I'm closing my register and going on break. Uh uh girl you are going to check me out. Because I'm going on break. Uh uh uh you tell me why. Tell me why right now. Why are you not going to check me out? Uh uh. Going on break. Uh uh uh. No I need you to tell me exactly what harm would they-,en,323
POST00003760,"Hi, do you have this in a small? Hello, I think that's a mannequin, really? Yeah, gosh, she looks so real. I know. Oh, hi, do you work here? What do you need? Just this in a small. Yeah. Can you get it for me? Yeah, I work through tips though. Uh, okay. Here you go. Great. So weird, never heard of tipping at a department store. Me neither. Have you guys been helped out yet? Oh, yeah, your employee is helping.",en,412
POST00003850,"enviando rosas falsas partes 56 gracias por esa ropa, rocita ropa, penélope gracias cambiado de 100 ropa, mami ah, 100 le dio y no te creo y es que тестa anticipate",es,164
POST00003975,"Y viendo rusos falsos en dictos, mira, es el final a dormir. Para terminar tan tarde. Yo siempre entreno tan temprano que todo el día estoy así. Gracias Julio Mario, gracias que lindo. No me primero. Bueno, es solo el primer like de algo, pero es que lindo que es.",es,264
POST00003287,"Ah, no quiero que me enamoró Por el madésir y también tus arriesas Contigo no le pido nada a la vida Porque tan solo con tenerte contra mi Yo me siento completo",es,160
POST00001398,All these other girls are tempting but I'm empty when you're gone and they say Do you need me? Do you think I'm pretty good? Or one day you can feel like you're telling me like no That's really close oh I think that I found myself a childy here He is always right there,en,269
POST00003921,"Les voy a mostrar los regalos de cumpleaños de Martina. Todo fue de Jalokiti, una maleta morada para viajar, unas pantuflas, lámpara para el cuarto, dos cartucheras, una lonchera roja, los marijaneshos, le dieron dos pares, unos llaveros lindos, dos espejos, encrespador de pestañas, la vial, un trapo para la cocina.",es,317
POST00001625,"si lisa valentí esto es un regalo ahora lo abrilo traíos desde Uruguay ya lo había visto que estaba ahí sí, pero no sabía es traído desde Uruguay y ahora te lo abrilo ojo, por el camara lenta, ¿vale? pero es que encima se rompe ¿vas a la de tu buña? salida, dale, dale, dale",es,274
POST00001163,"Look at what my six year old made me a bra. She made me a bra! She kept asking me what's your favorite things. And I said, well you are. So she wrote her. And then I said, and daddy and she wrote daddy. And then I said, and being with my friends, and she made put me in my friends. And on the back it says, I love you. You guys, look at the fringe. All right, good luck getting me a gift because nothing's going to top this bitch. I love her.",en,442
POST00001190,Have a Holly-Jelly Christmas XOXO Gossip Girl Last Christmas I'll give you my heart That will be very next day You give it away This year It's every frontier I'll build it to someone special,en,190
POST00000249,How cool does this marble pattern look for these sugar cookies? It was my dad's birthday over the weekend and I made some sugar cookies for him But I wanted to spruce them up a little bit with some marbling on top So I headed into my local spotlight and I got this product called Fondastic and it's like a premium fondant It's super easy to use and I watched some videos on how to like make it marbly And I just kept folding it until I was happy and then roll it out as you can see here And then here this is when it started to really come together the black coming through A bit of grey as well,en,595
POST00002408,"But I keep cruising Can't stop on stop moving It's like I got this feeling sweet In my mind saying it's gonna be alright Cause I'm playing, I'm playing, playing, playing, playing And my hands are hated",en,201
POST00001829,"Puff, you found the perfect gift. This bracelet is crafted from high quality silver and is adjustable to fit any wrist size. The tree of life charm represents",en,158
POST00002928,iction,en,6
POST00001572,Who makes you laugh the hardest? My boyfriend. Who's the most beautiful person you know? My boyfriend.,en,102
POST00001606,Target Beauty section stocking.,en,31
POST00000154,"Target must have you need under $10 part 1. If you suffer from strawberry, skin, or body acne, this has celicylic acid which helps with that. I love using these razors just to get rid of that peach fuzz on my face. It makes my makeup so flawless. Your base is so important whenever you're applying your makeup which is why I love this wedding wild and possible primer. This oil is so soothing but it also looks really good mixed with my lotion. If you don't want to drop a bag on a lip gloss, this is an extremely underrated gloss.",en,531
POST00001663,1.5% 1.5% 1.5% 1.5% 1.5%,nn,24
POST00000070,Let's make a target run. So I got to make this quick because the fun police told me that I can't be up in this store all day. So I got to grab exactly what I need and be back about it there. So I needed me some fabric softener and I normally sand there and smell all the flavors. But I'm just grabbed that one and then Billy ran out of food so I'm grabbing him some food. And then I needed me these oven bags. I went feeling how that first boss was looking so I said that on to the side and I'm going to grab one of the bags. But I'm actually going to grab two. I don't know if I need two but I'm going to grab them anyway. And another creator says something about these.,en,671
POST00002175,For baby I'm the one love you forever Forever and ever,en,54
POST00000965,Oh Oh All right,en,15
POST00001287,"Come with me to check out Target's first concept store in Katie, Texas. The first thing you're going to notice right away is how big this store is. It's 150,000 square feet and the amount of natural light that comes in through the windows is beautiful. I traveled three hours to Katie, Texas just to get here. I don't know about you, but these new cards glide like a dream. I also love that the aisles are twice the size so I don't feel like I'm going to bump in everybody. I think the displays are set up more visually appealing. It feels like there's just room to breathe in.",en,577
POST00001928,"Stay back, stay back, stay back. Stay back, stay back. Stay back. What? Don't try to go away. Stay back. No, no, stay back. What's the point? What's the point? Stay back, stay back. What's the point? Stay back. Hey, you talk to me. Hey, talk to me. Stay back. Stay back. Stay back. Stay back. Oh, wow. I really just walked in in the target.",en,340
POST00001128,"Don't know what to put in your man's stocking, don't worry chickies, I got you. We want our men to smell good so definitely pick up these native deodorants. Oh my god, how cute these are eye puffiness minimizing patches. For your man, face wash and face lotion makes such a good stocking suffer. Gifting a new toothbrush is always a good idea, I highly recommend the arc ones. It's freaking freezing in Massachusetts, so Chapsic is a must cause Arlips, big get and dry over here. I always get my",en,495
POST00001124,Oh You're walking around Christmas tree at Christmas party huh Miss go home where you can see every dot a butcher,en,113
POST00001123,Protection,en,10
POST00001112,"Amazon gifts that'll basically last forever. Part 1. So my favorite go-to gift is this ice cream scoop that I found out is actually used by basically every ice cream store. And in secret advantage, well, it's actually inside the handle. Inside the hollow handle is a non-toxic heat-conducting fluid. That fluid draws from your hands body temperature to warm up the metal. So when you go in for a scoop, it easily slices through even the hardest ice cream. Plus, it gives you these perfectly plump round scoops every time we-",en,524
POST00001836,"I know a guy is Treasure Hunter by trade. Very cool old guy, Australian guy. I lived in Perth. For years, he's like, I know where this certain Spanish ship went down. Long story short, he finds it. Right? Digs up one single gold coin. He's like, it's here. I know it's here. It's a big spear fisherman adventure guy. Goes spends tens of thousands of dollars, not a rich man. Spends tens of thousands of dollars, gets all of this excavator equipment. Goes to this very remote area of Northwestern Australia. Pulls up something like $10 million worth of treasure, takes it home, legally declared.",en,594
POST00002449,Join me while I look for a tiny treasure. I have an even tinier bottle today because I'm looking for a more rare color. And the color is blue. And here is my first blue piece.,en,175
