pid,ocr_text,ocr_raw_text_count
POST00003737,Hey you! | What are you doing up?,33
POST00001899,原声头疗,4
POST00001712,Reply to RYZEN's comment | Whathappendtothe | littlecrunchybead | things | Reply to RYZEN's comment | Whathappendtothe | littlecrunchybead | things | Reply to RYZEN's comment | Whathappendtothe | littlecrunchybead | things,222
POST00000838,HADOCLIIG,9
POST00002972,LoT 47711 | LOT 47711 | LOT 47711 | LOT 47711,45
POST00000777,Watch me do a | quickweave | I'm gonna crimp it | tomorrow I'm just too | tiredddd,82
POST00003577,Quick weave using | beauty supply hair | BBer,45
POST00003094,,0
POST00000280,Top Quick Weave Pack | Top Quick WeavePack | BNBEnBE | Hairo | aTopQuickWeavePack | Hair | Top QuickWeavePack | BEWA | tair,123
POST00001726,Me spending $30 every two | weeks on hair that bounce | like y'all $500 hair styles | Me spending $30 every two | weeks on hair that bounce | like y'all $500 hair styles | Me spending $30 every two | weeks on hair that bounce | like y'all $500 hair styles | Me spending $30 every two | weeks on hair that bounce | like y'all $500 hair styles,341
POST00001126,That time I did a quick | weave on myself for the first | time 5hours before my | birthday | That time I did a quick | weave on myself for the first | time 5hours before my | birthday | That timeI did a quick | weave on myself for the first | time 5hours beforemy | birthday | That time I did a quick | weave on myself for the first | time 5 hours before my | birthday,368
POST00001882,STUNNA LIP PAINT | LONGWEAR FLUID LIP COLOR | LONGUE TENUE | 4ML/0.13FL.OZ | EWTY | BEAUTI,90
POST00001184,HEAT | Fenty glow heat | 03 | HEA | Fenty glow heat | 03 | HEA | Fenty glow heat | 03 | HEAT | gooy moy6 houoy | 03,115
POST00002324,the viral fenty perfect' dark red > | the viral fenty 'perfect' dark red > | the viral fenty perfect' dark red >,112
POST00003049,Fenty highlighter Diamond | Bomb palette that I got for | free at Boots! | YTUAES YTNEE,87
POST00003389,Replytohalsey0815'scomment | Makeup conFenty | UV2 | Beauty | NAS | BPERFECT | CORCHED | POLAR VORTEX | HOD | RMOST. | HOAAVI | BE | EENIX,138
POST00003071,At my warehovse job with my | 1 inch nails | At my warehouse job with my | 1 inch nails | 62216 | The concentration | Ready to sit here and look | pretty,153
POST00001690,,0
POST00002479,Day in the life asa nail | tech | $130,38
POST00001630,,0
POST00003478,best lip oil ever. | best lipoil ever | best lip oil ever. | best lip oil ever.,79
POST00000467,DIOR ADDICT | LIP GLOW OIL | 001-pink | $38 | L.A. Girl Lip Oil | Sheer Strawberry | Follow for more,100
POST00001657,Reply to itskaylachilds's comment | Doareviewonthe | nyx lip oil ASAP | XYL | nix | nix,87
POST00001468,Reply to brianna_shae's comment | YOUBETTERSHOW | METHATLIPOIL!!! | AUOMRIA RICIEU,82
POST00001785,AHO | AHO | 2EbHO | AH | 2EbHOBV,32
POST00001376,KIKO | MERIT | ie | FEWTY-SKTN | mamhec | ￥Lip oils &glosses P've been loving | iflorence | mILAnI | KIKO | MERIT | ie | Lip oils&glosses Pvebeen loving 茶 | iflorence | HS | MERIT | KIKO | lie | EMTY | momhet | 恭Lip oils&glosses Pvebeen loving茶 | iflorence | HS | nosig | MERIT | KIKO | FEWTYSKITN | 祥Lip oils &glosses Pvebeen loving | iflorence,345
POST00002013,my top 3 lip oils: | Reply to farah.raafat's comment | can you make a video | showing the other lip | oilsthatarebetter | my top 3 lip oils: | my top 3 lip oils: | my top 3 lip oils:,182
POST00001889,stitch incoming | Using my guasha to push my | lips | migrated filler back into my,82
POST00001308,"Reply to Chioe Fernandez's | comment | WhenI had my migrated | lips dissolved after having | filler for 4 years, 1 literally | criedfordaysbecauseI | didn't recognise myself | Balling my eyes out cos I got | all my filler disolved | Balling my eyes out cos I got | all my filler disolved ( | Balling my eyes out cos I got | all my filler disolved | Balling my eyes out cos I got | all my filler disolved",403
POST00003516,Creative Curly | Hairstyles | pt.S,34
POST00003806,HaIRSTYLes IDeas | FOR CURLY HaIR | HaIRsTYLes IDeaS | FOR CURLY HaIR | hairstyleinspo<3 | @ITHINKITSBELLa | @ITHINKITSBELLa,124
POST00003259,Braided half up,15
POST00003307,Cute Curly | Hairstyle | idea | Besitos LoVE YoU,48
POST00003621,Curly hair inspo,16
POST00001940,,0
POST00001472,3 minute Curly Hairstyle | 3 minute CurlyHairstyle | 3 minute CurlyHairstyle | 3 minute Curly Hairstyle,103
POST00003696,Easy curly hairstyles | for school 二 | Easy curly hairstyles | for school 三 | Easy curly hairstyles | for school 三a | Easy | J curly hairstyles | for school =,158
POST00003355,How I style my curls | to avoid a middle part,45
POST00003272,vanilla | vanilla | girl | aesthetic | pure | vanilla | Te healthy Candle | 00 | vanilla | sundae | girl | aesthetic | KAY | ALI | pure | vanilla | Pehealithy candle | LANEIGE | sundae | vanilla | girl | aesthetic | Diar,220
POST00001421,12h | lilih | How to be a vanilla girl | at school | Sendmessage | pixi | Glossier. | On-the-Glow | BLUSH | MAKEUP | Glos! | Makeup bag | Bottoms | etn | Stationary,164
POST00001539,vanilla girl outfits and | where they're from | nart2 | KS | NDON | POLO | lyst | magnolia jeans | van cleef & arpels | vintage alhambra | earrings,147
POST00003326,vanilla girl essentials | neutral long sleeves | neutral sweaters | neutral sweaters,84
POST00001255,vanilla girl | outfit tnspo | vanilla girl | outfit tinspo | YU ARE | EXACTLY | WHERE | YOUNEER | BE | VANILLA | BIAN | ANTIOUN | VANILLE | BIBLIOTHEOUE | GYPSYWATER,165
POST00002288,vanilla girl fits | Glosi | Fgpoh | REPLICA,43
POST00000986,vanilla girl wishlist | gisou | REPLICA | Maison Murpeb,55
POST00002187,VANILLA | 10 | vanilla girl | TREEHUT | SIYO | sugatlips | vanilla girl | NATIVE,80
POST00001245,vanilla scents /how | to smell like vanilla | conditioner | COCON | TSVANILLA | COCONU | NATIVE | NATIVE | shampoo | conditioner | shower gel | COCON | NATIVE | NATIVE | vanilla | shampoo | deoderant | NATIVE | perfume (top note | vanilla) | LANEIGE | VANILLE | lip mask | conditioner | shower gel | COCONUT SVANILLA | NATIVE | NATIVE | vanilla | shampoo | deoderant | SOL | NATIVE | ZILIANCO | 62 | perfume (top note | vanilla) | LANEIGE | UPSLEEPINGMASK | perfume (dry note | vanilla) | lip mask,497
POST00002780,vanilla girl aesthetic>>>,25
POST00001476,MODEST | WANILLA | WARM | Kombin tarzini bul | Vanilla girl | MCDES | KARGODA | QEST | YILDIZLI | URUN | TRENDYOLMiLLATasHirkaTakimTrikoElbise | TWOSS23EL00738 | Pesinfiyatina3taksit! | 3.8 | 129degerlendirme | 30B | Kalip | Kumas Tipi | Persona | Triko | Slim. | Cool Comfort | Wy Son14GununEnDusukFiyat! | 449.99TL | Sepete Ekle | -14% | 382.99TL | YARIN | KARGODA | BEDAVA | BenisengiydirKadinBejCheerfulBaskiliOversize | KapusonluSweatshirt | 4.8 | 124degerlendirme) | 1B | Kalip | Desen | Materyal | Model | Baskill | Pamuklu | Oversize | Kapisonlu | 195.15TL | SepeteEkle,577
POST00003622,Vanilla girl Pinterest | board | Pt 2l | SHUFFLES | UORDELICIOU | NATIVE | Glossier. | dolceon | gisou | Sme-25o | OLAPLEX | N°4 | 230mi/Net 8.5 lcz | SHUFFLES | UORDELICIOU | NATIVE | Glossier. | qisou | Sme-25to | OLAPLEX | N°4 | IOND MAINTENANC | AMPOO | 10:09 | 20mi/Net 8.5 .c2 | OUAI | TREEHUT | Thationt,310
POST00001826,vanilla girl | essentials | long sleeved crop tops | cream knit sweaters | neutral sweatshirts | ESSENTIALS | SSENTIALS,119
POST00003897,me wheneveri wear baggy | jeans | me wheneveri wearbaggy | jeans | me wheneveri wear baggy | jeans | me wheneveri wear baggy | jeans,132
POST00002885,DTAR | YESTEESELRENDER3D | PODEISCONSEGUIRLO,44
POST00003504,AN EAGL | STRETCH | 27 | NO.4822 | STRETCH | SUPER HIGH-RISE ANKLE STRAIGHT | LIGHTTINTED WASH | STRETCH | JAMBE DROITEA LAC | 27W | TAILLE SUPER HAUTE | FINITEINTE | 30ANDARD | NO | EXTENSIBLE | TAILIE | PALE | CHEV | 102,222
POST00003819,"I got ""Curve Your Way Skinny | Jeans""",37
POST00003591,FITJEANS | FITJEANS | FITJEANS | THE | FITJEANS,47
POST00002841,findingtheperfect pairof | skinny jeansbutnot | knowinghowtostyle | findingtheperfect pairof | skinnyjeansbutnot | knowinghowtostyle | findingtheperfectpairof | skinnyjeansbutnot | knowinghowto style | findingtheperfectpairof | skinny jeansbutnot | knowinghowtostyle,266
POST00000841,CHILTON,7
POST00000536,I HATE BEING A | MIRRORBALL | MIATHE | IHATE BEING A | MIRRORBALL | IHATE BEING A | MIRRORBALL | MIATAE | IHATE BEING A | MIRRORBALL | MIATAEE,142
POST00002413,"15:12 | mirrorball | Taylor Swift | Spinnin'in my highest heels, | love | Shinin'just for you | And they called off the | circus, burned the disco | down | When they sent home the | horses and the rodeo clowns | I'm still on that tightrope | I'm still tryin' everything to | get you laughing at me | And I'm still a believer, but I | don't know why | spedx8 | 2:33 | -0:55 | 15:13 | mirrorball | Taylor Swift | down | When they sent home the | horses and the rodeo clowns | I'm still on that tightrope | I'm still tryin' everything to | get you laughing at me | And I'm still a believer, but I | don't know why | I've never been a natural, all I | do is try, try, try | I'm still on that trapeze | I'm still tryin' everything to | keep you looking at me | spedx8 | 2:50 | -0:38 | 15:13 | mirrorball | Taylor Swift | AnaI'm still a bellever,but! | don't knowwhy | I've never been a natural, all I | do is try, try, try | I'm still on that trapeze | I'm still tryin' everything to | keep you looking at me | Because I'm a mirrorball | I'm a mirrorball | And I'll show you every | version of yourself tonight | Licensed &ProvidedbyMusixmatch | spedx8 | 3:06 | -0:22",1162
POST00001959,Meaning behind mirrorball | Meaning behind mirrorball | Meaning behind mirrorball | Meaning behind mirrorball,109
POST00002935,"aboutts13 | spinning in my highest heels, love | aboutts13 | all I do is try,try,try | aboutts13 | aboutts13",108
POST00003454,veneverbeena | PRRMIER | i'm still,34
POST00002447,yo: | MIRRORBAL'S | yo: | MIRRORBAL'S | yo: | MIRRORBAL'S | yo:,63
POST00003799,TIGHTROPE | WHY,15
POST00002550,please stand for the | national anthem | please stand for the | national anthem | please stand for the | national anthem | IPELESS | COILEEN | CULLETR | KEPNES YOUY | YOUVE | STARTSWITHUS | ITENDSWITHUS | CELLCEN | THE STEPPINGOFF PLACE | TENDSWITHUS | COLLFENROOVER | panie | ALLYOUR PERTECTS | TOOLAT | COLLEEN HOOVER | NATAL | MRYBESOMEDRY | CONFFSS | THE WAYIUSED TO BE | MITHOUTMERIT | COLLFEN HOOVER | please stand for the | national anthem | OOVER | OVEN | LLEEN | KEPNE | OVER | YOUYE REACHED | EHHOOVER | KRESTAN HIGGINS | OOVER | WeuCuaysHaeSur | HOOVER | HODVER | ENHOOVER | CKSEVEMROOIANDE | EVELYN HUGO | RUE MOON | ADOVER | NODVER | THE WAYIUSED TO BE | NHOOVER,675
POST00002070,"•the mirrorball girls. | mirrorball is for the girls | who try their hardest to | get any validation to feel | lovedthey'repeople | pleasers who justwant to | be seen,forthe giris who | don't like anybody seeing | them cry,the ginswho | are scared offailure | because they don't want | tobe seen as failures, | and forthegirlswho feel | likeasecondoptionto | everybody | ·the mitrorballgirls | mirropball isforthe girls | twantto | swho | ares | because | tobe | likea | secondoption | everybody | -the mirrorball girls. | mirrorball is for the girls | who try their hardest to | get any validation to feel | loved,they're beople | pleaserswhojustwant | be seen,forthegiriswho | don't like anybody seeing | them cry,the girls who | arescaredoffailure | because they don't want | to be seen as failures, | and for the girls who feel | like a second option to | everybody | -the mirrorball girls | mirrorball is for the girls | who try theirhardest to | get any validation to feel | loved,they'repeople | pleaserswhojustwantto | be seen,forthe girlswho | don't like anybody seeing | them cry,the girls who | are scared offailure, | becausetheydon'twant | to be seen as failures, | and for the girls who feel | likeasecondoptionto | everybody",1239
POST00001503,hanging my mirrorball up | EWILL BE | in yusthday | january2023,63
POST00002777,,0
POST00003363,"ck6:mirrorball | ttenbytaylorswift&jackantonoff | ts_spanish | Ahm, diferentes versiones | de ti para tu familia. | tsspanish | s_spanish",137
POST00000551,"""why do you have a random | disco ball tattoo???"" | ""why do you have a random | disco ball tattoo???"" | ""why do you have a random | disco ball tattoo???"" | ""why do you have a random | disco ball tattoo???""",205
POST00003088,"mirrorball | TaylorSwift | You'llfind me onmytallesttiptoes | Spinnin'in my highestheels,love | Shinin'just for you | Hush, I know they said the end is near | But I'mstill onmytallesttiptoes | Spinnin'in myhighest heels, love | Shinin'just for you | And they called off the circus, burned | thedisco down | When they sent home the horses and | therodeoclowns | I'm still on that tightrope | I'm still tryin'everything to get you | laughing at me | And I'm still a believer, but I don't know | why | I've never been a natural, all l do is try, | try, try | I'm still onthattrapeze | 2:33 | -0:55 | mirrorball | TaylorSwift | Spinnin'inmyhighestheels,love | Shinin'just for you | And they called off the circus, burned | thediscodown | When they sent home the horses and | the rodeo clowns | I'm still on that tightrope | I'm still tryin' everything to get you | laughing at me | And I'm still a believer, but I don't know | why | I've never been a natural, all I do is try, | try,try | I'm still on that trapeze | I'm still tryin'everything to keep you | looking at me | Because I'm a mirrorball | I'm a mirrorball | 2:49 | -0:39",1128
POST00003599,Tiferecently. | life recently. | life recently.,47
POST00001935,,0
POST00003366,spinning in my highest heels | shining just for you,51
POST00002847,,0
POST00003281,while i just looked in front of me with blame and hate | (oesnadabensuclulukvenefretileonumebaktim) | i was never really brave enough to say my way of thinking | (hic kendi dusunme bicimimi soyleyecek kadar cesur olamadim),222
POST00003339,NE AGOI!TEAMO WDAS | loeamvyme | Cresiedin | His | image | minha primeira | tatuagem:) | SCSmC | Uintagp Collection | minha primeira | tatuagem :) | minha primeira | tatuagem:) | minha primeira | tatuagem:),206
POST00002347,,0
POST00001230,winter cool girl fits <3 | winter cool girl fits <3 | uvtys,59
POST00001208,8/10 | Winter outfitideas | Curvy Edition | 8/10 | Winter outfitideas | CurvyEdition | 8/10 | Winter outfitideas | Curvy Edition | 8/10 | Winter outfit ideas | Curvy Edition,173
POST00001046,Winter | Wonderland,19
POST00001005,grwm | BERGC | BERCGRUEN&CIE | BEKCCKNEVSCIE | TISSE | IVSIES2 DECONSER | BERCCRUENACIE | BEKCCBEVCIE | SSE | RERGGE | FEKCCBNEASCIE,132
POST00002283,Reply to moreof._jay's comment | 40isalot | be | venflo | Reply to moreof._jay's comment | 40isalot | mo | Reply to moreof._jay's comment | 40isalot | Reply to moreof._jay's comment | 40isalot,192
POST00003098,NIKE | BOXY HOODIE | PUFF | NIKE | is | Created | Oho | Dy | Mind | CARS | NIKE | Really.is | created | change our reality by | changing our mind | Detail Sleeve Sablon | NIKE | @jackable,187
POST00002124,,0
POST00001971,Styling A New Pair of | Stacked Jeans | BLUCK | BLOCK | BLOCK | SCILLA | PRISCILLA | PRISCILLA | PRISCILLA | BLOC | BLOCK | .OCK | BLOCK | PRISCILLA | PRISCILL | PRISCILLA | BLOCK | BLOCI | BLOCK | BCK | PRISCILLA | BLOCK | PRISCILLA | BLOCK | PRISCILLA | PRISCILLA | BLOCK | BLOCK | RISC | BLOC | BLOCK | BLOCK | LOCK | BRISCIKA,329
POST00002811,,0
POST00001140,"gets new boots with with | leather soles* | *gets new boots with with | leather soles* | *slipping and sliding | everywhere* | REE | ""You know what to do""",154
POST00000289,HOWTO GET THE RIGHT | PAIROFBOOTS | ARI | 3. | TRY ON EVERY BOOT IN | THE STORE | OSIRII | 5. MAKE SURE THEY'RE | REAL | DNP | happy boot buying :),147
POST00002230,pharmacy | 526 | pharm | 528 | 526 | 528 | 526 | 528,52
POST00000924,,0
POST00001251,TEEH | Disclaimer and Warning,29
POST00001104,Jordans | PS5 | $200 | Reading my 16 year old | sons Christmas List | Jordans | PS5 | $200 | Reading my 16 year old | sons Christmas List | Jordans | PS5 | $200 | Gray Sweatpants | Jordans | PS5 | $200 | Gray Sweatpants,219
POST00000983,my realistic christmas | wishlist<3 | they will | go with | everything | keep seeing everyone | talking abt this | qison | qison | chison | dison | ison | dream shoes | DIOR,173
POST00000895,Christmas List | Idea | Christmas List | Idea | CHRT | Christmas List | Christmas List | Idea | CHRISTMAS | LIST | expensive | Cuoyolo | 8. | 8. | 10. | 9. | 10.,161
POST00002082,Cutest dress for 2 bestie | friend group | @normacy | @nor maey | @normacy | Mention your bestie 't,99
POST00002590,A Backless | Dress? | A Backless | Dress? | A Backless | Dress?,63
POST00002295,A Backless Prom | Dress? | A Backless Prom | Dress? | A Backless Prom | Dress?,78
POST00001355,Reply to lovely_koko54's | comment | Nameofthedress?? | Reply to lovely_koko54's | comment | Nameof thedress?? | Reply to lovely_koko54's | comment | Name of thedress?? | Reply to lovely_koko54's | comment | Name of thedress??,226
POST00001261,PoV: You end up loving | the dress your mom chose | POV: You end up loving | the dress your mom chose | POV: You end up loving | the dress your mom chose | POV: You end up loving | the dress your mom chose | idon' | rasmon | ram | fashion,238
POST00003652,This dress is too good to be | true | Double lined | Mesh dress | Padded cups,77
POST00000707,"""You need to find someone | to cover your shift"" | How about you ""manage"" | the schedules? | That's why I'm taking | off in the first place | Either way | You're doing it",170
POST00003227,PoV: You're the favorite manager | POV: You're the favorite manager | POV: You're the favorite manager | POV: You're the favorite manager,137
POST00003015,Surviving Retail: Pt.2 | Surviving Retail: Pt.2 | FOREVER21 | Surviving Retail: Pt.2 | FOREVER21 | Surviving Retail: Pt.2,121
POST00001917,"$3299 | plus | 21 | KENRA | 50% | 21""",37
POST00002710,woman gets offended bya | mug on display | woman gets offendedbya | mug on display | woman gets offended bya | mug on display,125
POST00000024,This is a reenactment of a | scene at a department | store the week of Christmas | COJ | ATWUON,95
POST00003760,never heard of tipping | at a department store | and that you're getting | them a different size shirt | MERCEDES,113
POST00003850,"Ana Ruiz | 3.2Kmegusta | Musica | Clasificacionsemanal | Explorar | enviando rosas falsas parte | 56 | doconolrosespectadoresenuen | real.Losanfitrionesdebensermayoresde18 | anosparapoderemitirunL/VE,mientrasquelos | espectadoresdebensermayoresde18aiospara | recargar y enviar Regalos.Note olvides de seguir | lasNormasdelacomunidad. | Sehan omitidoalgunoscomentarios en este LIVE | para protegerla experiencia de los usuariosdela | comunidad. | regalos | Penelopeteha enviado | x100 | Anadircomentario | Varios.Recargar Regalo | Compa. | enviando rosas falsas parte | 56 | espectadoresdebensermayores | Leznospara | recargaryenviarRegalos.Noteolvuesdeseguir | asNorrnasdelacomunidad. | Sehanomitido algunos comentariosenesteLIVE | paraprotegerla experiencia delosusuarios dela | comunidad. | Penelopetehaenviadox10o | Diego_$35aenvia | envia | envia | enviar | ?123 | ES·EN | enviando rosas falsas parte | 56 | interactuando conrotros espectadores ent | real.Losanfitriones deben sermayores de1 | anosparapoderemitirunLIvE,mientrasquetos | espectadoresdeben sermayores de18anosBara | recargary enviar Regalos.Noteolvides de seguir | lasNormasdelacomunidad. | Se han omitido algunos comentarios en este LIVE | para proteger la experiencia de los usuarios dela | comunidad. | Penelopeteha enviado | x100 | Diego_$35aenviadox9 | GIF | ?123 | ES·EN",1345
POST00003975,"8:12 | 10 | enviando rosas falsas en | tiktok mira hasta el final | amor mio | asNormasdelacomunidad. | Se han omitido algunos comentarios en este LIVE | para protegerla experiencia delos usuarios dela | comunidad. | fysaciom | ffysaciomlediounmegustaal LIVE | julio | 88 | me | mi | ?123 | 8:13 | YenCordoba | +Seguir | 622megusta | Clasificacionsemanal | Explorar > | enviando rosas falsas en | 29/08&31/08 | tiktok mira hasta el final | amor mio | comunidad, | Luffysaciom | regalos | julioMariohaenviado | X20 | Sehan omitidoalgunos comentarios en esteLIVE | para proteger la experiencia delos usuarios de la | comunidad. | Luffysaciomlediounmegustaal LIVE | Anadircomentario | Varios i... | Rosa | Regalo | 8:13 | Yen Cordoba | +Seguir | 640megusta | Clasificacionsemanal | Explorar > | enviandorosas falsas en | n(MX) 7pm(CO) 29/08/2023 | tiktok mira hasta el final | amor mio | comunidad. | Luffysaciom | si | regalos | julioMariohaenviado x20 | Sehanomitidoalgunos comentariosenesteLIVE | para proteger la experiencia delos usuarios de la | comunidad. | Luffysaciom le dio un me gusta al LIVE | Anadircomentario | Varios i... | Rosa | Regalo",1149
POST00003287,Y tambien | contigo no | le pido nada | a' la vida | porque tan solo | con tenerte | Junto a mi | tan solo | porque | con tenerte | Junto a mi | Y0 me + | sento cormpleta | Felz | cumpieanos | Te Amo,199
POST00001398,Ideas de regalos | que puedes pedir | en tu cumpleanos | Comenta tu | dia de | cumpleanos! | Ideas de regalos | que puedes pedir | en tu cumpleanos | ·Fundas para el celular | .Una mascota:,189
POST00003921,Responder al comentario de :P | yo quieroversus | regalossss | '+Les voya mostrar los | regalos de cumpleanos de | Martina'+ | Feiz | Lampara para el cuarto | Encrespador de pestanas,182
POST00001625,para | Disen | senado | para | mor,34
POST00001163,My 6 yr old gave me an | early Christmas present | My 6 yr old gave me an | early Christmas present | My 6 yr old gave me an | early Christmas present,150
POST00001190,My Christmas haul | DIOR | DIOR | DIOR | NORDSTROM | OUISVUITTON | DIOR | DIOR | OUISVUITION | DIOR | DIOR,106
POST00000249,Fondtastic | Fondtast | Fondtastic | Luary Formula | Prumum fondani | Softndeay towo | - Lasry Formsls | Sotandeasy towokwith | ROYAL BLUE | -dyouorcck | - Luxury Formula | BLACK | ilnotdryoutocck | WHITE | Fondtastic | Prmjum Fandan | Fondtastic | Hopuay umund | Luary Formula,277
POST00002408,Castaway | Gifts ideas for her | Part1 | Castaway | Gifts ideas for her | Part1 | Castaway | Gifts ideas for her | Part1 | K18 | K18PeptidetM | Whnere biotech | meets haircare | BARSCENE | K1aPeptide | La blotechnologie | au senvicedusoin | K18 | capillaire | leave-inmclecuar | repair hair mask | masque capillaire | aniparstionmolic/an | 15nm/05fozlg | about8-15tros | 15ml/0.5 floz liq | stonsA15tatenerts | pirboutule | K18 | K18Leave-lnMolecularRepairHairMask Treatme...,475
POST00001829,POV - You found the | perfectgift | PANDORA | This bracelet is crafted | from high-guality silver | and is adjustable to fit | anywrist size.,141
POST00002928,,0
POST00001572,mpby | OP!R | 1021 | mybf Ao | PoP!PRINCss | 1021 | mybf ++。 | seun | LEGO | Funko | favor | POP! PRINCESS | 1021 | 1021,120
POST00001606,Target beauty section | stocking | E.L.F. | E.L.F. | L'OREAL | BATH | MAYBELLINE | E.L.F. | NYX | ALMAY | RIMMEL | COVERGIRL | ace | elf | elf | elf | elf | OWERGRIP PRIMER | POWER GRIP PRIMER | POWER GRIPPRIMER | POWER GRIP PRIMER | 81517 | mer+Niacinamide | 81517 | and grip makeup all day. | 81517 | 81517 | 1711 | elf | elf | elf | RIOWCOMROSSUSHILS | WAND | TWEEZER | A CILSETSOURCILS | ARAD | EVCE,403
POST00000154,TARGET | MUSTHAVES | UNDER S10 | PART 1 | BEAUTY | Facial Shaping Razors | PeBEAUTY | GREATFOR | Dermaplaning | Facial | Exfofiation | Eyebrow | Shaping | Peachanzz | wet nwild | MPOSS | RIBASE | SILICONE-FREEPRIMER | THEONE | THATDOESITALL | MAQUILLAGE SILICONE QUI | LABASEDE | FAITVRAIMENTTOUT | 25mL/0.84FL.OZ. | 5.00 | $3.00 | LIP LACQUER,343
POST00001663,"orderpickup | SHAYATING BW220Z | 6.99 | SAVE | up to | OLAY | ULTRAmoisture | MOISTURIZERS"" | ritlLOXMORE | 7.99 | IRISH | SPR.NC | G&GPASTAS | 5.99 | TAS | 220Z | G&GPASTAS | MUSHROOMRISOTTC | 4.99 | 270110501",210
POST00000070,STOP | YZARS | MEALCOR | YEARS | ADULTDOG | Recipe | Nut | 2103 | A48(1-1-2-1 | 083-06-468611 | FIJI | FIJI | NATURALARTESIA | 7.99 | Wate | 100*NATURAL | SPRING WATER | Ozarka | 100 | 3.49 | 190 | SANI | Ozarl,210
POST00002175,"25.00 | IFINALLY | FOUND HIM! | IFINALLY | FOUND HIM! | he's so cute! | Dog&Surfboard | DistrouedBy | CRESOENT ENTERPRISECO.D | SF.2.No.118.L.235.Baoo0oRd.Xodan | DitNwaipety1,awanh | Decoritveuse only.totatoy | Oron.China | 234-19-3004 | only $3 | DPCI: 684509198408",267
POST00000965,TARGET | thank you | TEICON | THEICON,37
POST00001287,target | Target's | First Concept | Store | AVA-VIV | target | FDC,66
POST00001928,,0
POST00001128,Welcom | Tal | STOCKING STUFFER | GIFT IDEAS FOR HIM | TARGET EDITION | ForYour | Convenience | It's freaking freezing in | Massachusetts so chapstick | is a must | BURT'SBEES | I got him the cutest plaid | stocking | STOCKING | And the stocking is done | Let's go,264
POST00001124,amaron | stocking stuffers | ANIL | MOON | 3 in 1 charger | scalp massager | reusable cotton rounds,99
POST00001123,help me stuff my stockings | using myfavholiday products | from amazon | new york biology | dead sea mask | diravo fuzzy slipper | socks | shop these products | andmoreon amazons | holiday gift guide,199
POST00001112,by basically every ice cream | store! | hand's body temperature | every time!,77
